language,number of documents,percentage of total documents
en,235987420,93.68882%
de,3014597,1.19682%
fr,2568341,1.01965%
pt,1608428,0.63856%
it,1456350,0.57818%
es,1284045,0.50978%
nl,934788,0.37112%
pl,632959,0.25129%
ja,619582,0.24598%
da,396477,0.15740%
no,379239,0.15056%
ro,320256,0.12714%
fi,315228,0.12515%
zh,292976,0.11631%
ru,289121,0.11478%
cs,243802,0.09679%
sv,161516,0.06412%
hu,149584,0.05939%
zh-Hant,107588,0.04271%
id,104437,0.04146%
hr,100384,0.03985%
tr,91414,0.03629%
ca,80899,0.03212%
vi,69147,0.02745%
sl,66333,0.02633%
et,56643,0.02249%
sk,52826,0.02097%
ko,48852,0.01939%
el,44378,0.01762%
sr,41553,0.01650%
th,41301,0.01640%
ar,36275,0.01440%
ms,23184,0.00920%
sq,21796,0.00865%
bs,19932,0.00791%
fa,17863,0.00709%
lt,17756,0.00705%
lv,17698,0.00703%
gl,17226,0.00684%
uk,14418,0.00572%
tl,13657,0.00542%
af,11521,0.00457%
hi,11426,0.00454%
iw,10172,0.00404%
is,9140,0.00363%
bg,8024,0.00319%
ga,7518,0.00298%
cy,5047,0.00200%
ta,4252,0.00169%
ml,4138,0.00164%
rw,3759,0.00149%
mr,3460,0.00137%
az,3265,0.00130%
ka,2780,0.00110%
sw,2725,0.00108%
uz,2659,0.00106%
bn,2655,0.00105%
gd,2456,0.00098%
ku,2274,0.00090%
my,2147,0.00085%
eu,2020,0.00080%
te,1574,0.00062%
ny,1523,0.00060%
st,1402,0.00056%
mg,1386,0.00055%
km,1313,0.00052%
mk,1244,0.00049%
hy,1222,0.00049%
ur,1213,0.00048%
kn,1189,0.00047%
si,968,0.00038%
pa,938,0.00037%
ne,875,0.00035%
ht,809,0.00032%
mt,746,0.00030%
kk,682,0.00027%
ceb,648,0.00026%
jw,648,0.00026%
lg,613,0.00024%
lo,555,0.00022%
gu,545,0.00022%
be,542,0.00022%
su,480,0.00019%
yi,365,0.00014%
hmn,313,0.00012%
or,193,0.00008%
ky,140,0.00006%
dv,114,0.00005%
tg,94,0.00004%
bh,90,0.00004%
iu,58,0.00002%
syr,47,0.00002%
mn,11,0.00000%
xx-Goth,6,0.00000%
xx-Copt,4,0.00000%
xx-Glag,4,0.00000%
xx-Qaai,4,0.00000%
xx-Runr,3,0.00000%
xx-Yiii,3,0.00000%
chr,3,0.00000%
xx-Shaw,3,0.00000%
xx-Sund,2,0.00000%
xx-Olck,2,0.00000%
xx-Dsrt,2,0.00000%
xx-Nkoo,2,0.00000%
xx-Tfng,1,0.00000%
xx-Java,1,0.00000%
xx-Tavt,0,0.00000%
xx-Bopo,0,0.00000%
xx-Samr,0,0.00000%
xx-Avst,0,0.00000%
xx-Ogam,0,0.00000%
xx-Egyp,0,0.00000%
xx-Linb,0,0.00000%
xx-Cham,0,0.00000%
xx-Cakm,0,0.00000%
xx-Phnx,0,0.00000%
xx-Phag,0,0.00000%